  space
! exclam
" quotedbl
# numbersign
$ dollar
% percent
& ampersand
' quotesingle
( parenleft
) parenright
* asterisk
+ plus
, comma
- hyphen
. period
/ slash
0 zero
1 one
2 two
3 three
4 four
5 five
6 six
7 seven
8 eight
9 nine
: colon
; semicolon
< less
= equal
> greater
? question
@ at
A A
B B
C C
D D
E E
F F
G G
H H
I I
J J
K K
L L
M M
N N
O O
P P
Q Q
R R
S S
T T
U U
V V
W W
X X
Y Y
Z Z
[ bracketleft
\ backslash
] bracketright
^ asciicircum
_ underscore
` grave
a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
k k
l l
m m
n n
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
y y
z z
{ braceleft
| bar
} braceright
~ asciitilde
¡ exclamdown
¢ cent
£ sterling
¤ currency
¥ yen
¦ brokenbar
§ section
¨ dieresis
© copyright
ª ordfeminine
« guillemotleft
¬ logicalnot
­ uni00AD
® registered
¯ macron
° degree
± plusminus
² twosuperior
³ threesuperior
´ acute
µ mu
¶ paragraph
· periodcentered
¸ cedilla
¹ onesuperior
º ordmasculine
» guillemotright
¼ onequarter
½ onehalf
¾ threequarters
¿ questiondown
À Agrave
Á Aacute
Â Acircumflex
Ã Atilde
Ä Adieresis
Å Aring
Æ AE
Ç Ccedilla
È Egrave
É Eacute
Ê Ecircumflex
Ë Edieresis
Ì Igrave
Í Iacute
Î Icircumflex
Ï Idieresis
Ð Eth
Ñ Ntilde
Ò Ograve
Ó Oacute
Ô Ocircumflex
Õ Otilde
Ö Odieresis
× multiply
Ø Oslash
Ù Ugrave
Ú Uacute
Û Ucircumflex
Ü Udieresis
Ý Yacute
Þ Thorn
ß germandbls
à agrave
á aacute
â acircumflex
ã atilde
ä adieresis
å aring
æ ae
ç ccedilla
è egrave
é eacute
ê ecircumflex
ë edieresis
ì igrave
í iacute
î icircumflex
ï idieresis
ð eth
ñ ntilde
ò ograve
ó oacute
ô ocircumflex
õ otilde
ö odieresis
÷ divide
ø oslash
ù ugrave
ú uacute
û ucircumflex
ü udieresis
ý yacute
þ thorn
ÿ ydieresis
ı dotlessi
Ł Lslash
ł lslash
Œ OE
œ oe
Š Scaron
š scaron
Ÿ Ydieresis
Ž Zcaron
ž zcaron
ƒ florin
